HISTOGRAM: ../bin/data/AlcoyH_salida.xyz.csv
N_puntos: 20380212
N_nodos: 153205
N_nodos_hoja: 114898
MinRadius: 1.4 m
Area_minima: 7.84 m^2

OBSERVADO: 
N_medio_pts/nodo: 177
__min: 0
__max: 3947
Densidad_media: 22.6246
__min: 0
__max: 503.444

ESTIMADO: 
N_medio_pts/nodo: 59.3776
Densidad_media: 7.57367

x_i n_i x_i*n_i rho_i rho_i*n_i
494 20 9880 63.0102 1260.2
495 21 10395 63.1378 1325.89
496 22 10912 63.2653 1391.84
497 19 9443 63.3929 1204.46
498 23 11454 63.5204 1460.97
499 20 9980 63.648 1272.96
500 18 9000 63.7755 1147.96
501 17 8517 63.9031 1086.35
502 22 11044 64.0306 1408.67
503 18 9054 64.1582 1154.85
504 15 7560 64.2857 964.286
505 13 6565 64.4133 837.372
506 26 13156 64.5408 1678.06
507 19 9633 64.6684 1228.7
508 15 7620 64.7959 971.939
509 22 11198 64.9235 1428.32
510 14 7140 65.051 910.714
511 21 10731 65.1786 1368.75
512 14 7168 65.3061 914.286
513 18 9234 65.4337 1177.81
514 13 6682 65.5612 852.296
515 29 14935 65.6888 1904.97
516 19 9804 65.8163 1250.51
517 18 9306 65.9439 1186.99
518 17 8806 66.0714 1123.21
519 21 10899 66.199 1390.18
520 17 8840 66.3265 1127.55
521 18 9378 66.4541 1196.17
522 17 8874 66.5816 1131.89
523 20 10460 66.7092 1334.18
524 18 9432 66.8367 1203.06
525 9 4725 66.9643 602.679
526 18 9468 67.0918 1207.65
527 17 8959 67.2194 1142.73
528 23 12144 67.3469 1548.98
529 19 10051 67.4745 1282.02
530 22 11660 67.602 1487.24
531 20 10620 67.7296 1354.59
532 17 9044 67.8571 1153.57
533 10 5330 67.9847 679.847
534 12 6408 68.1122 817.347
535 20 10700 68.2398 1364.8
536 16 8576 68.3673 1093.88
537 14 7518 68.4949 958.929
538 11 5918 68.6225 754.847
539 11 5929 68.75 756.25
540 28 15120 68.8776 1928.57
541 17 9197 69.0051 1173.09
542 17 9214 69.1327 1175.26
543 19 10317 69.2602 1315.94
544 11 5984 69.3878 763.265
545 21 11445 69.5153 1459.82
546 23 12558 69.6429 1601.79
547 12 6564 69.7704 837.245
548 15 8220 69.898 1048.47
549 13 7137 70.0255 910.332
550 21 11550 70.1531 1473.21
551 10 5510 70.2806 702.806
552 12 6624 70.4082 844.898
553 11 6083 70.5357 775.893
554 15 8310 70.6633 1059.95
555 22 12210 70.7908 1557.4
556 13 7228 70.9184 921.939
557 9 5013 71.0459 639.413
558 14 7812 71.1735 996.429
559 15 8385 71.301 1069.52
560 15 8400 71.4286 1071.43
561 15 8415 71.5561 1073.34
562 13 7306 71.6837 931.888
563 16 9008 71.8112 1148.98
564 15 8460 71.9388 1079.08
565 17 9605 72.0663 1225.13
566 12 6792 72.1939 866.327
567 8 4536 72.3214 578.571
568 18 10224 72.449 1304.08
569 13 7397 72.5765 943.495
570 14 7980 72.7041 1017.86
571 13 7423 72.8316 946.811
572 12 6864 72.9592 875.51
573 15 8595 73.0867 1096.3
574 16 9184 73.2143 1171.43
575 18 10350 73.3418 1320.15
576 19 10944 73.4694 1395.92
577 17 9809 73.5969 1251.15
578 14 8092 73.7245 1032.14
579 18 10422 73.852 1329.34
580 10 5800 73.9796 739.796
581 12 6972 74.1071 889.286
582 21 12222 74.2347 1558.93
583 18 10494 74.3622 1338.52
584 16 9344 74.4898 1191.84
585 11 6435 74.6173 820.791
586 18 10548 74.7449 1345.41
587 13 7631 74.8725 973.342
588 13 7644 75 975
589 17 10013 75.1276 1277.17
590 10 5900 75.2551 752.551
591 18 10638 75.3827 1356.89
592 17 10064 75.5102 1283.67
593 10 5930 75.6378 756.378
594 13 7722 75.7653 984.949
